Label,Clean_Text
1,ኽምር አጅርመ ዘጅር ታሽታጙ ዊኑ
1,ፅሊዝመ ቆርቆረዝ ይሽተኩ
2,እስለመ ጅጥ አቕስተ ይሽተኩ
3,እውነት አኹረመ ጉድ አኹረው ይሽተኩ
4,ስልጣንል ፅበቁ እቅድ ዛሸነው
1,ኪይለ የነውዝ ቀልዝን ዊግተነው
1,ለባም ነውዝ ማግተነውዊንም ዛሸተነው
1,ለው ብሒርድ ላውድ ጥቖዝወ ፃቨን ዊግተነው
1,ላ ብሒርድ ኪፍሸን ላውድ ዝቅሸን ቃለ ፃፈነው
2,ለው ሃማኖትድ ምከን ቃጥለነውዝ ሀይማኖት ጫዘናንስ ጉስጉስ ነው
2,ክርስትና ሃይማኖት ቲክነጥድ እስልምነ ቲክነቁጅቅ ቃሪስናንስ ፃፈነው
2,ለው ሃይማኖነት ለወደንት መከን ቃጥለነውዝ መዳግሸት ነን ተክዘነው
3,እውነ ሲውሪ ስትር አምራይም
3,እውነ አርቅር አውልም ቻጘይም
3,እውነ ክንድር ለውጥ ነስይም
4,መንግስት ለውብሔርድ ጥቕዚነውዝ ለውድ ለጊስነው ተክዘነውዝ ፃፈነው
4,ለው ብሔርድ ለማዘነውዝ ለውድ ጦርነትዝ ዲቅጠጘ ፃፈነው
4,ታሪክ ለወድ ጥቕዘ ዊነው ተክዘነውዝ ነን ለውድ ቺዘን ጥቕቀረው
3,አይቭር ሳየዙ ዲምቅሻንል ማለቁ ቲግቭርንድ እፃቐነው
3,ጨነ በነውድቅ ይር እፃርሽ ድዃርይ እይ የነው
3,አይቭር ስየዙ ዲምቅሽንዝ ቁርሽን ኪፍልጨል ይት ጠራዘውድቅ የነው
3,ቑጭር ኽየው በነኩን የነው
4,ላው ቈጝቈድ ላዝ ቈጝቈይ ዲቁሰን ቓለነው
4,ዲቁትነይዙ በንዝ እጅርዝ እጅር ቈውሰነው
4,ላው ቈጝቈድ ላዘ ቈጝቈይ በውጊል ዊግሻጙ ዊነው ፃቭነው
4,አይር ቃወተድ ቃውነ ቃወት ዊነውድ ቀሰው ስራሽሽም ቀነሽናንስማጥን ዛሸነው
1,ጝጝነቍ ጭቝ አርውጥጘ ፃቨነው
1,ጝጅወነይዝቍ ጭቝ ክንድጥጘ ፃቨነው
1,ጝቀበሌዝቍ ጭቝ ሊግዝጥጘ ፃቨነው
1,ጝወርድዝቍ ጭቝ ጣቅምጥጘ ፃቨነው
1,ጥቅለዝጝ ዞንድ ዊንም ፅበው ኻግርድንየስ ሊግስናንስ ጭቝ አርወውጘነው የነት የጝ
2,ጝ ሃይማኖት ጭቝ ንስ ሽነው
2,ጝ ይው ክገጘዝጝ ሃይማትዝ ክንሰነው
2,ጝጝነቍድም ላዘ ሃይማትድ ሳስሸነውዝ ክንሰነው
2,ክርስትና ሃይማት አቕን ነን ክርስትና አርውሸጥጘ ፃቨነው
2,ጥቅለዝ እጥቅ እቅድ ላው እጅር ጝይቍትይድ አርወሽድ ጝቕመቱ ኻማኖት ጭቝ የጝ
3,ላው እጅር አወነት ሳስ ሽን ቓለያው
3,ጝቕመት ንስሽነው
3,ያን ግልወ የጝ ይን ኩረነው
3,ላይ እጅር ላው ግልው ሽክትረንድ ግልወድ ካሽነው
3,ጥቅልዝ ቁርሸት ፃታድ ሳስሽነ ቂዝነው ቀሀያው አየውም ምላሰንድም ፃታዙ እርወነይ ፅበንሸቅ የጝ
4,ላው እጅር ዲቍትይ ፅያንድ ጝቕመት ንስሽቓለነው
4,እጅርወ ዊገ ዋርድነው
4,ዊቱ እማላቲስ ጎ ቈሸነው ቀርድም አየውም
4,ቺተቺተ ስበኒል ጝቕመት ንስሽን ዊግተነው
4,ጥቅልዝ ፖለቲከዙ ዚርፈድ ጭቕጘ ዚንዘነው ቀሰው አየውም ምላሰንድ ላዘ ጎረል ቓል ችጝሰው አቓንስቅ የጝ
1,ቅማንታንድ ቃነዝቍ ዚረጛይ
1,ብለዘመ ድኽረዝ እግረ እግረ ኻረከረ
1,ኽምረ ጨወነው ላየወረጘ አርቕው
1,ዝላየዝመ ቆርቆሮውዝ ላው ጛይ
3,እቍንድ ቍስ ቓሊሽኚ ዛጀርም አቕስ ተርጡቍ
3,እውነ እፃረው ዊቀ ገውታውም
4,ኦሮሞዝመ ብርጭቆውዝ ላው ጛይ
1,ጝተ ዘረድብሔረድ እቃ ሸነው
1,እንቅም ዚረብሔር እርወ አቕነውድ አርቓቅየነው
1,ሽምር ሲጘ ታሪክ እጀውም ይን ቂግተነው
2,ላውድ ብዛ ሀይማኖትል ጣልቀ ጥውነው
2,ለውድ ላዊል ጥቕዘ ፈጥርነው
3,ግልወዝመ እውነዝ ጛል ፃምርሽን ፃጘነው
3,እውነ ዂር አኽበዝ ግቭርዝንየ
4,አቕው አቕየውድቅ ፌስቡክ ፃፈነው
4,እሸት ዊግተነው
1,ፖለቲክ ዋረድዱነው
1,አዂርሸነውዝ ገብይዝ ዊታድነው
1,ሚድይል ፃፈነው
1,ዂሸት ፃፈነው
2,ሃይማኖትዝ ላዘ ክስ ጥሻውም
2,ክርስትናንድ ለሀይማኖት አሳይነውም
2,ሀይማት ላዘአምጣጘ ለበድነው
3,ግለውዝመ እውነስ ላውጘ
3,ግብረሰዶም ይሽ ውስ ክስክስነው
3,ፌስቡክ ነውስ ገብ ፃቨነው
4,ዘረኝነት ገብ ፃፈነው
4,ደብርዝ ገብ ቓረሽንጠጘ ይሴይነው
4,ላ አማራር ጭቓዙ ፃፈነው
1,ኽምረ ሳስየው ዚረ ዊን ብሔር የጝ
1,ኽምጣጘ ቈጝቈ ክንደነውም አነ ዊግተነው አርው እጀውም
1,ኽምጣጘዙ ክንደጝ ንየቱ ደረጀ እጀው አቒንስቅ ተሚሳየውም
1,አገውኽምረ ጊንዝቭ ቀነው የጝ
1,ኽምረ ካደው የጝ
2,አመነቁ መላክ ግንድ ዛሸነው
2,ቲክንደው ሀይማኖትድ ፃፈነውዝ አዋርድዘነው
2,ማርያም የነይ አማላጅ እጅረይም
3,እውነ ጊንዝቭ ቀንደይ ኚ
3,እውነ ግልወዝው ካልስኚ
3,እውነ ክንደነው ጥውሻይም
3,እወነስ ዲቈት ይዋይነይ አቕነውና
4,ፋኖ ላው አከባቢድ ጭጝ ኻቝ
